Processed Formula
 2011/06/24
 2011/07/07
 2011/08/11
 2011/08/11
 2011/09/06
 2011/09/06
 2011/11/11
 2011/11/29
 2012/01/24
 2012/02/24
 2012/03/18
 2012/04/30
 2012/05/16
 2012/06/26
 2012/07/27
 2012/08/08
 2012/08/09
 2012/08/16
 2012/09/04
 2012/10/04
 2012/10/04
 2012/10/11
 2012/10/19
 2012/11/09
 2012/11/26
 2012/12/03
 2012/12/13
 2013/03/01
 2013/03/07
 2013/03/19
 2013/04/03
 2013/04/09
 2013/04/22
 2013/05/14
 2013/06/03
 2013/06/07
 2013/06/20
 2013/06/23
 2013/07/08
 2013/08/02
 2013/08/08
 2013/08/13
 2013/09/02
 2013/10/03
 2013/11/08
 2014/01/02
 2014/01/03
 2014/01/26
 2014/01/30
 2014/02/12
 2014/02/13
 2014/02/14
 2014/02/27
 2014/03/12
 2014/04/09
 2014/07/28
 2014/09/15
 2014/10/23
 2014/11/14
 2014/11/21
 2014/12/11
 2015/01/05
 2015/01/20
 2015/01/21
 2015/02/12
 2015/03/05
 2015/03/13
 2015/04/15
 2015/04/20
 2015/04/22
 2015/05/17
 2015/05/23
 2015/10/29
 2015/11/11
 2015/11/17
 2015/12/09
 2016/01/11
 2016/02/21
 2016/03/10
 2016/03/30
 2016/05/10
 2016/06/21
 2016/07/08
 2016/07/27
 2016/08/23
 2016/09/22
 2016/09/28
 2016/09/29
 2016/10/05
 2016/11/28
 2017/01/31
 2017/02/17
 2017/02/17
 2017/02/27
 2017/03/17
 2017/04/13
 2017/04/14
 2017/05/30
